[Sun Jul 18 23:04:35 2010] #mikunopop: Mint            : 逆にコミュ単位の企画って今のところ「大賞」だけなんですよね？コミュ全体の再生数ランキングとかは年末やってましたし
[Sun Jul 18 23:05:06 2010] #mikunopop: saihane         : ですね。
[Sun Jul 18 23:05:09 2010] #mikunopop: Shaghar         : 大賞が公式で、他の企画が公認非公式、な感じです・・・自分の中では
[Sun Jul 18 23:05:56 2010] #mikunopop: saihane         : リスナーはコミュ「公式」のイベントを望んでいる、と解釈してます
[Sun Jul 18 23:05:57 2010] #mikunopop: kuranchi        : 私もそうです。
[Sun Jul 18 23:06:09 2010] #mikunopop: Shaghar         : そうだと思います＞公式
[Sun Jul 18 23:06:09 2010] #mikunopop: Mint            : なら、結局のところ、「大賞」の冠を使っていいか、という問題だけでひとまず解決する、と思いました
[Sun Jul 18 23:06:19 2010] #mikunopop: kinuko          : そうですよねぇ・・・
[Sun Jul 18 23:07:12 2010] #mikunopop: Shaghar         : そこをすっきりさせれば企画運営自体はなんとかなりそうですしね～
[Sun Jul 18 23:07:18 2010] #mikunopop: saihane         : でも、第五世代のおふたりは、「大賞」をやりたいんですか？
[Sun Jul 18 23:07:19 2010] #mikunopop: kuranchi        : なんか、自分の中にあった疑問が解けた気がします
[Sun Jul 18 23:07:33 2010] #mikunopop: kuranchi        : 私は「大賞」がやりたいです
[Sun Jul 18 23:07:37 2010] #mikunopop: saihane         : それとも、公式の別の企画を立ち上げたいんでしょうか
[Sun Jul 18 23:07:42 2010] #mikunopop: nise_ikkari     : くらんちさん、さらに悟られた、だと？
[Sun Jul 18 23:08:18 2010] #mikunopop: kuranchi        : 悟ってないです～本能のままです＞＜
[Sun Jul 18 23:08:53 2010] #mikunopop: nise_ikkari     : くらんちさんの情熱をかんじました。是非大賞実現させたいですね！
[Sun Jul 18 23:09:06 2010] #mikunopop: saihane         : ふむふむ。だったらあすたーさんに、「あすたーさんがもし今企画していないのなら、やらせてください」ってお願いするってことね。
[Sun Jul 18 23:09:16 2010] #mikunopop: kuranchi        : ひとまず、あすたーさんに声をかけてみようと思うんですが、
[Sun Jul 18 23:09:31 2010] #mikunopop: nise_ikkari     : saihaneさん、それです！
[Sun Jul 18 23:09:41 2010] #mikunopop: kuranchi        : どこに連絡したらいいんですかね？
[Sun Jul 18 23:10:34 2010] #mikunopop: danjoh          : 大賞が見たいと思ってたら、主催者になっていた（ry
[Sun Jul 18 23:10:34 2010] #mikunopop: kuranchi        : ユーザーページにはついったとにゃっぽんしかないし・・
[Sun Jul 18 23:11:14 2010] #mikunopop: saihane         : コミュトップでいいんじゃないでしょうか。掲示板に書くか、いっそ「お知らせ」にでかでかと書いて呼び出すかｗ


